# S Data File C1s K Edge											
#------------------
#eV	Norm
301.31	1.9847
301.41	1.977
301.51	1.975
301.61	1.9652
301.72	1.9585
301.82	1.9477
301.91	1.9399
302.01	1.9326
302.11	1.9368
302.22	1.9288
302.3	1.918
302.42	1.919
302.5	1.9016
302.61	1.8943
302.72	1.8981
302.81	1.8873
302.93	1.8843
303.01	1.8759
303.1	1.8627
303.2	1.861
303.29	1.8446
303.41	1.8447
303.51	1.8371
303.61	1.8213
303.71	1.8119
303.81	1.8132
303.91	1.7985
304.02	1.7978
304.1	1.7716
304.21	1.7698
304.29	1.764
304.4	1.7537
304.5	1.7518
304.61	1.7399
304.7	1.7196
304.81	1.7127
304.9	1.7023
305	1.7001
305.11	1.685
305.2	1.6751
305.31	1.6642
305.41	1.6622
305.51	1.6499
305.6	1.6332
305.7	1.6254
305.81	1.6099
305.9	1.605
306	1.5941
306.09	1.5827
306.18	1.5783
306.31	1.5706
306.41	1.5542
306.5	1.5449
306.6	1.531
306.71	1.5191
306.82	1.5128
306.91	1.5014
306.99	1.4931
307.12	1.4915
307.18	1.4876
307.31	1.4717
307.4	1.4637
307.51	1.4566
307.6	1.4491
307.71	1.439
307.81	1.4243
307.9	1.4227
307.98	1.4191
308.1	1.4
308.2	1.3958
308.3	1.392
308.41	1.3807
308.49	1.3738
308.6	1.374
308.7	1.3635
308.81	1.3497
308.89	1.3481
309	1.3428
309.1	1.328
309.21	1.3288
309.31	1.3205
309.39	1.3163
309.51	1.3063
309.61	1.2956
309.7	1.2978
309.79	1.2867
309.89	1.2883
310	1.2823
310.11	1.2771
310.21	1.2679
310.31	1.2654
310.4	1.2641
310.5	1.2572
310.59	1.2424
310.7	1.2399
310.79	1.2324
310.89	1.2354
311.01	1.2292
311.1	1.2227
311.2	1.2181
311.3	1.2187
311.41	1.2118
311.5	1.2091
311.61	1.2008
311.7	1.2014
311.79	1.2018
311.89	1.1936
311.99	1.1863
312.1	1.1853
312.2	1.1824
312.29	1.1858
312.4	1.1719
312.5	1.1719
312.59	1.1686
312.69	1.1702
312.8	1.1631
312.9	1.1622
313	1.1538
313.1	1.1552
313.2	1.1543
313.3	1.1545
313.4	1.148
313.49	1.1397
313.6	1.1375
313.68	1.1319
313.79	1.1344
313.9	1.1332
314	1.1223
314.1	1.133
314.2	1.1242
314.3	1.1253
314.4	1.1194
314.48	1.1125
314.59	1.1197
314.69	1.1077
314.8	1.1085
314.89	1.1086
314.99	1.1084
315.09	1.103
315.19	1.1012
315.31	1.094
315.41	1.0958
315.5	1.0999
315.6	1.0939
315.69	1.0899
315.8	1.0895
315.9	1.0848
315.99	1.0911
316.11	1.081
316.18	1.08
316.29	1.0763
316.4	1.0781
316.5	1.0692
316.6	1.0738
316.69	1.0685
316.8	1.0632
316.91	1.0627
317	1.0665
317.09	1.0611
317.19	1.0595
317.29	1.0623
317.41	1.0632
317.5	1.0549
317.59	1.0579
317.69	1.0524
317.79	1.053
317.89	1.0529
317.99	1.046
318.11	1.0458
318.2	1.0425
318.29	1.0427
318.39	1.0476
318.49	1.0379
318.59	1.0379
318.68	1.0412
318.8	1.0305
318.9	1.0375
319	1.0304
319.1	1.0319
319.19	1.0347
319.3	1.0308
319.39	1.0295
319.49	1.0248
319.59	1.024
319.68	1.0266
319.79	1.0252
319.89	1.0183
319.99	1.0181
320.11	1.0184
320.2	1.0195
320.28	1.0108
320.39	1.0174
320.49	1.0115
320.59	1.0148
320.67	1.0131
320.8	1.0063
320.89	1.0077
320.99	1.0035
321.09	1.0094
321.19	1.004
321.28	0.99641
321.39	1.0035
321.49	1.0021
321.59	1.0056
321.68	0.99512
321.79	0.99454
321.9	0.99336
322.01	0.99424
322.1	0.99318
322.19	0.9913
322.3	0.992
322.39	0.98923
322.48	0.98738
322.58	0.98717
322.69	0.985
322.78	0.98854
322.89	0.98828
322.99	0.98583
323.1	0.98388
323.19	0.97693
323.3	0.98501
323.41	0.98212
323.5	0.98376
323.59	0.98743
323.69	0.98058
323.79	0.97777
323.9	0.97741
323.99	0.97055
324.11	0.97174
324.18	0.97339
324.29	0.96687
324.4	0.97093
324.5	0.96809
324.59	0.96164
324.68	0.96895
